,x,y,index
AB17A_HUMAN,0.5173683,0.09724841,0.0
ACBD5_HUMAN,0.9329757,0.5449726,1.0
ACE2_HUMAN,0.18371281,0.4563803,2.0
ACON_HUMAN,0.8813863,0.75600463,3.0
AMPN_HUMAN,0.86403674,0.1706702,4.0
ANXA2_HUMAN,0.32981658,0.80245376,5.0
ATF5_HUMAN,0.06867135,0.023263864,6.0
B2CL1_HUMAN,0.11560763,-0.015607351,7.0
B2CL2_HUMAN,0.49889648,0.20995927,8.0
B2LA1_HUMAN,0.29374266,-0.055917438,9.0
BAG6_HUMAN,0.4842987,0.3494717,10.0
BCL2_HUMAN,0.1846477,-0.009942635,11.0
BTF3_HUMAN,0.5015263,0.46474501,12.0
CAMLG_HUMAN,0.13690238,0.09079954,13.0
CAV1_HUMAN,0.11857997,0.019969089,14.0
CD209_HUMAN,0.028490948,0.14322817,15.0
CD9_HUMAN,0.46641967,1.2040612,16.0
CEAM1_HUMAN,0.91426563,0.660643,17.0
CH60_HUMAN,0.90722704,0.7158797,18.0
CHK2_HUMAN,0.23847182,-0.054975685,19.0
CHM2B_HUMAN,0.09514606,0.42266077,20.0
CHM4B_HUMAN,0.48666674,0.7207462,21.0
CLC4G_HUMAN,-0.016482498,0.24932535,22.0
CLC4M_HUMAN,0.10523844,0.34038556,23.0
COPB2_HUMAN,0.61330557,0.56862235,24.0
CYTSB_HUMAN,0.46388936,0.0998185,25.0
DCTN2_HUMAN,0.14788432,0.15374812,26.0
DDAH2_HUMAN,0.30885983,0.34362185,27.0
DDX1_HUMAN,0.7154141,0.53602153,28.0
DDX5_HUMAN,0.092450656,0.38287443,29.0
DNJB1_HUMAN,0.9096768,0.5016303,30.0
DPP4_HUMAN,0.55999047,1.194084,31.0
EF1A1_HUMAN,0.04042543,0.25666472,32.0
EIF3E_HUMAN,0.9570345,0.6279315,33.0
EIF3F_HUMAN,0.5037245,0.43330345,34.0
EIF3I_HUMAN,0.6676476,0.8638685,35.0
FGL2_HUMAN,0.5779972,0.26060203,36.0
FKB1A_HUMAN,0.041593194,0.3664405,37.0
G3BP1_HUMAN,0.29169816,0.754422,38.0
G3BP2_HUMAN,0.69635737,0.6218572,39.0
GBF1_HUMAN,0.605568,0.82291853,40.0
GRP75_HUMAN,0.80408293,0.56494254,41.0
GSK3A_HUMAN,0.42684036,0.50667447,42.0
GSK3B_HUMAN,0.6740638,0.42187694,43.0
H2AW_HUMAN,0.23794366,-0.0057191704,44.0
HCoV-229E,0.80183536,0.26379144,45.0
HCoV-NL63,0.09315211,0.6052585,46.0
HGS_HUMAN,0.46269357,0.005109659,47.0
HNRPQ_HUMAN,0.6234064,0.46034798,48.0
IBV,0.50114614,0.6071674,49.0
IC1_HUMAN,0.440595,0.19633175,50.0
IFTAP_HUMAN,0.07751491,0.108978525,51.0
IKKB_HUMAN,-0.006780768,0.16652252,52.0
IMA1_HUMAN,0.16293833,0.32381514,53.0
IMA3_HUMAN,0.5128314,0.80801296,54.0
IMB1_HUMAN,0.82307917,0.9042859,55.0
IRF3_HUMAN,0.0221485,0.09642328,56.0
JUN_HUMAN,0.07712712,0.078276396,57.0
KIF11_HUMAN,0.983296,0.69462484,58.0
LAS1L_HUMAN,0.21487895,0.10904876,59.0
MARK3_HUMAN,0.32954204,0.41911042,60.0
MCL1_HUMAN,0.3453526,-0.03993895,61.0
MERS-CoV[2014KSA_683],0.46493417,1.0194721,62.0
MHV,0.7109765,0.6767285,63.0
MI4GD_HUMAN,0.39371806,0.02080359,64.0
MKRN2_HUMAN,0.21730073,0.40392485,65.0
MKRN3_HUMAN,0.22590685,0.050783683,66.0
NACA_HUMAN,0.9466143,0.71747303,67.0
NDUAA_HUMAN,0.40298656,0.10824226,68.0
NMT1_HUMAN,0.6423885,0.91213936,69.0
NOMO3_HUMAN,0.36076784,0.058398195,70.0
NONO_HUMAN,0.29212266,0.6866729,71.0
NPM_HUMAN,0.6309055,0.73711807,72.0
NU4LM_HUMAN,0.011008345,0.3381209,73.0
NUCL_HUMAN,0.585043,0.7272421,74.0
NUDC1_HUMAN,0.93786705,0.8105631,75.0
PABP1_HUMAN,0.33299276,0.5083889,76.0
PABP4_HUMAN,0.36185044,0.75729626,77.0
PARP1_HUMAN,0.3909102,0.80814475,78.0
PFD5_HUMAN,0.39575788,-0.030444166,79.0
PGH2_HUMAN,0.43105388,0.031980034,80.0
PHB_HUMAN,0.44739795,0.31722024,81.0
PP1A_HUMAN,0.344027,0.0011677681,82.0
PPIA_HUMAN,0.18157838,-0.047541797,83.0
PPIG_HUMAN,0.085950136,0.29178524,84.0
PPIH_HUMAN,0.0901937,0.16229759,85.0
PRKRA_HUMAN,0.63579655,1.1353166,86.0
PRS7_HUMAN,0.86494154,0.81548136,87.0
PSA2_HUMAN,0.3485114,0.46946004,88.0
PSMD1_HUMAN,0.49600574,0.77773607,89.0
PTBP1_HUMAN,0.7704516,0.89167833,90.0
RCAN3_HUMAN,0.00212156,0.21957281,91.0
RIR2_HUMAN,0.71921337,0.88286215,92.0
RL13A_HUMAN,0.56560564,0.901548,93.0
RL19_HUMAN,0.68194246,0.51209134,94.0
RLP24_HUMAN,0.6829378,0.47852594,95.0
ROA1_HUMAN,0.5941802,0.66372126,96.0
ROA2_HUMAN,0.6269286,0.6177808,97.0
ROA3_HUMAN,0.74239904,0.8225103,98.0
RS20_HUMAN,0.49379268,0.1500367,99.0
RYBP_HUMAN,0.50783277,0.05712726,100.0
SARS-CoV-2,0.27874082,0.21775976,101.0
SARS-CoV[GZ02],0.2790222,0.22944623,102.0
SCFD1_HUMAN,0.5819252,0.8633426,103.0
SFTPD_HUMAN,0.30147064,0.07209533,104.0
SKP2_HUMAN,0.32546937,0.72158116,105.0
SMAD3_HUMAN,0.91495305,0.5947911,106.0
SNP47_HUMAN,0.28303334,0.0010360536,107.0
SNX9_HUMAN,0.53193504,0.85174704,108.0
SRP54_HUMAN,0.90607697,0.7871993,109.0
STA5A_HUMAN,0.81983757,0.84209615,110.0
STAT3_HUMAN,0.25313777,0.45931777,111.0
STX5_HUMAN,0.8668693,0.8644601,112.0
TERF1_HUMAN,0.0036382894,0.29072803,113.0
TFEB_HUMAN,0.845322,0.47577417,114.0
TGFB1_HUMAN,0.8946301,0.42672694,115.0
TMPS2_HUMAN,0.3890641,1.1990045,116.0
TRYB1_HUMAN,0.07085781,0.20689249,117.0
TWF2_HUMAN,0.79963946,0.46229157,118.0
UBC9_HUMAN,0.16925469,0.029588042,119.0
VKOR1_HUMAN,0.25597766,0.32160845,120.0
XPO1_HUMAN,0.13687104,0.22952808,121.0
YKT6_HUMAN,0.7266908,0.93364376,122.0
ZCRB1_HUMAN,0.40044805,0.4146404,123.0
